,Municipio,UF,NomeEstacao,CodEstacao,Latitude,Longitude,Altitude,StatusEstacao
968,Traipu,AL,Traipu,49660000,-9.9714,-37.0028,2.0,Ativo
969,Penedo,AL,UHE Xingó Jusante 4,49706250,-10.2881,-36.5856,0.0,Ativo
970,Itabaiana,SE,Açude Jacarecica I,50081000,-10.6756,-37.3606,0.0,Ativo
971,Malhador,SE,Açude Jacarecica II,50082000,-10.7203,-37.2886,0.0,Ativo
972,Uauá,BA,Açude Cocorobó Montante,50138900,-9.8553,-39.2278,0.0,Ativo
973,Canudos,BA,Açude Cocorobó,50139500,-9.8814,-39.0394,0.0,Ativo
974,Canudos,BA,Açude Cocorobó Jusante 1,50142100,-9.8833,-39.0378,0.0,Ativo
975,Canudos,BA,Açude Cocorobó Jusante 2,50142200,-9.8831,-39.0378,0.0,Ativo
976,Jeremoabo,BA,Cabeça De Boi,50142300,-9.8817,-38.8667,0.0,Ativo
977,Sitio Do Quinto,BA,Açude Gasparino Montante 2,50142800,-10.2236,-38.1044,0.0,Ativo
978,Coronel João Sá,BA,Açude Gasparino Montante 1,50142900,-10.2178,-38.0628,0.0,Ativo
979,Coronel João Sá,BA,Açude Gasparino,50143000,-10.2769,-38.0544,0.0,Ativo
980,Coronel João Sá,BA,Açude Gasparino Jusante,50143100,-10.2853,-38.0536,0.0,Ativo
981,Adustina,BA,Açude De Adustina Montante,50151400,-10.5858,-38.1033,0.0,Ativo
982,Adustina,BA,Açude De Adustina,50151500,-10.5706,-38.0706,0.0,Ativo
983,Adustina,BA,Açude De Adustina Jusante,50151600,-10.5675,-38.0669,0.0,Ativo
984,Campo Do Brito,SE,Açude Governador João Alves Filho,50181000,-10.7986,-37.4522,0.0,Ativo
985,São Cristovão,SE,Açude Sind. Jaime Umbelino De Souza,50187200,-10.9172,-37.2053,0.0,Ativo
986,Lagarto,SE,Açude Governador Dionisio Machado,50210000,-10.9589,-37.6678,0.0,Ativo
987,Tobias Barreto,SE,Açude Jabiberi,50240000,-11.0553,-37.9108,0.0,Ativo
988,Filadélfia,BA,Fazenda Alecrim,50300000,-10.7522,-40.2244,0.0,Ativo
989,Senhor Do Bonfim,BA,Açude Sohem,50310000,-10.3686,-40.0975,0.0,Ativo
990,Pindobaçu,BA,Fazenda Grutinha,50315000,-10.7589,-40.4367,0.0,Ativo
991,Pindobaçu,BA,Açude Pindobaçu Montante,50360700,-10.7614,-40.4369,0.0,Ativo
992,Pindobaçu,BA,Açude Pindobaçu Jusante,50360900,-10.8025,-40.3803,0.0,Ativo
993,Antônio Gonçalves,BA,Açude Aipim Montante,50370000,-10.5933,-40.3997,0.0,Ativo
994,Antônio Gonçalves,BA,Açude Aipim,50371000,-10.5969,-40.3428,0.0,Ativo
995,Antônio Gonçalves,BA,Açude Aipim Jusante,50371100,-10.6003,-40.3403,0.0,Ativo
996,Andorinha,BA,Açude Quicé Montante,50375000,-10.4544,-40.0203,0.0,Ativo
